INDEX;NOME_STR;INSTITUICAO_ENSINO_ALUNO_2020_STR;IDADE_ALUNO_2020_INT;ANOS_PM_2020_INT;SINALIZADOR_INGRESSANTE_2020_STR;ANO_INGRESSO_2020_DATE;FASE_TURMA_2020_STR;FASE_2020_STR;TURMA_2020_STR;PONTO_VIRADA_2020_STR;INDE_2020_NUM;INDE_CONCEITO_2020_STR;PEDRA_2020_STR;DESTAQUE_IEG_2020_STR;DESTAQUE_IDA_2020_STR;DESTAQUE_IPV_2020_STR;IAA_2020_NUM;IEG_2020_NUM;IPS_2020_NUM;IDA_2020_NUM;IPP_2020_NUM;IPV_2020_NUM;IAN_2020_NUM;FASE_2021_STR;TURMA_2021_STR;INSTITUICAO_ENSINO_ALUNO_2021_STR;SINALIZADOR_INGRESSANTE_2021_STR;ANO_INGRESSO_2021_DATE;PEDRA_2021_STR;INDE_2021_NUM;IAA_2021_NUM;IEG_2021_NUM;IPS_2021_NUM;IDA_2021_NUM;IPP_2021_NUM;REC_AVA_1_2021_STR;REC_AVA_2_2021_STR;REC_AVA_3_2021_STR;REC_AVA_4_2021_STR;PONTO_VIRADA_2021_STR;IPV_2021_NUM;IAN_2021_NUM;NIVEL_IDEAL_2021_STR;DEFASAGEM_2021_NUM;SINALIZADOR_INGRESSANTE_2022_STR;ANO_INGRESSO_2022_DATE;BOLSISTA_2022_STR;INDE_2022_NUM;CG_2022_INT;CF_2022_INT;CT_2022_INT;PEDRA_2022_STR;DESTAQUE_IEG_2022_STR;DESTAQUE_IDA_2022_STR;DESTAQUE_IPV_2022_STR;IAA_2022_NUM;IEG_2022_NUM;IPS_2022_NUM;IDA_2022_NUM;NOTA_PORT_2022_NUM;NOTA_MAT_2022_NUM;NOTA_ING_2022_NUM;QTD_AVAL_2022_INT;IPP_2022_NUM;REC_AVA_1_2022_STR;REC_AVA_2_2022_STR;REC_AVA_3_2022_STR;REC_AVA_4_2022_STR;INDICADO_BOLSA_2022_STR;PONTO_VIRADA_2022_STR;IPV_2022_NUM;IAN_2022_NUM;NIVEL_IDEAL_2022_STR
969;ALUNO-969;;;;;;;;;;;;;;;;;;;;;;;ALFA;J;Escola Pública;Ingressante;2021;Topázio;8.596;9.5;10;7.5;7.7;8.8;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Sim;9.9;5;Nível 2 (5o e 6o ano);-2;Veterano;2021;Não;8.717;14;2;1;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.5;9.307;7.5;8.833;9.167;8.5;null;3;6.667;Promovido de Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;;Sim;Sim;9.111;10;Fase 2 (5º e 6º ano)
1038;ALUNO-1038;;;;;;;;;;;;;;;;;;;;;;;4;F;Escola Pública;Ingressante;2021;Ágata;6.619;8.3;6.1;0;6.5;8;Promovido de Fase;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não;7.3;10;Nível 4 (9o ano);0;Veterano;2021;Não;7.533;298;20;8;Ametista;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.167;7.448;7.5;5.778;1.667;6.333;9.333;3;6.458;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase + Bolsa;;Sim;Não;7.875;10;Fase 5 (1º EM)
1039;ALUNO-1039;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;null;null;null;null;null;null;;;;;;null;null;;null;Ingressante;2022;Não;7.625;262;74;3;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.5;9.074;7.5;7;7;7;null;2;5.938;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;8.083;5;Fase 2 (5º e 6º ano)
1040;ALUNO-1040;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;null;null;null;null;null;null;;;;;;null;null;;null;Ingressante;2022;Não;7.268;407;49;2;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.583;8.422;7.5;6.167;4.833;5.833;7.833;4;7.5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;Não;6.958;5;Fase 4 (9º ano)
1041;ALUNO-1041;Escola Pública;12;1;Veterano;2019;3M;3;M;Não;8;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75;5.4;7.5;8.667;7.969;7.792;10;;;;;null;;null;null;null;null;null;null;;;;;;null;null;;null;;null;;null;null;null;null;;;;;null;null;null;null;null;null;null;null;null;;;;;;;null;null;
1042;ALUNO-1042;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;null;null;null;null;null;null;;;;;;null;null;;null;Ingressante;2022;Não;6.892;528;68;5;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.583;8.5;7.5;5.167;7;3.5;5;4;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não;Não;6;5;Fase 4 (9º ano)
1043;ALUNO-1043;;;;;;;;;;;;;;;;;;;;;;;ALFA;M;Escola Pública;Ingressante;2021;Topázio;8.367;9.5;10;7.5;6.8;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.8;10;ALFA  (2o e 3o ano);0;;null;;null;null;null;null;;;;;null;null;null;null;null;null;null;null;null;;;;;;;null;null;
1044;ALUNO-1044;;;;;;;;;;;;;;;;;;;;;;;ALFA;L;Escola Pública;Ingressante;2021;Topázio;8.25;9;10;7.5;5.5;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.8;10;ALFA  (2o e 3o ano);0;Veterano;2021;Não;7.282;400;117;6;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8;8.448;7.5;7.317;7.067;7.567;null;2;5.625;Promovido de Fase;Mantido na Fase atual;;;Não;Não;7.583;5;Fase 1 (4º ano)
1045;ALUNO-1045;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;null;null;null;null;null;null;;;;;;null;null;;null;Ingressante;2022;Não;7.902;168;25;4;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.5;9.365;7.5;7.417;5.833;9;null;3;4.792;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;6.833;10;Fase 2 (5º e 6º ano)
1046;ALUNO-1046;Escola Pública;14;2;Veterano;2018;3R;3;R;Sim;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;9.3;7.5;7.667;8.333;8.833;5;;;;;null;;null;null;null;null;null;null;;;;;;null;null;;null;;null;;null;null;null;null;;;;;null;null;null;null;null;null;null;null;null;;;;;;;null;null;
1047;ALUNO-1047;Escola Pública;13;2;Veterano;2018;4L;4;L;Não;5;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.5;2.1;7.5;0;7.917;5.611;10;;;;;null;;null;null;null;null;null;null;;;;;;null;null;;null;;null;;null;null;null;null;;;;;null;null;null;null;null;null;null;null;null;;;;;;;null;null;
1048;ALUNO-1048;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;null;null;null;null;null;null;;;;;;null;null;;null;Ingressante;2022;Não;7.039;476;123;8;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8;9.722;7.5;4.75;2;7.5;null;3;4.167;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;5.889;10;Fase 1 (4º ano)
1049;ALUNO-1049;;;;;;;;;;;;;;;;;;;;;;;1;R;Escola Pública;Ingressante;2021;Ametista;7.457;7.9;8.8;7.5;6;8.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.1;5;Nível 2 (5o e 6o ano);-1;Veterano;2021;Não;7.107;453;115;10;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8.5;8.884;7.5;6.25;4.5;8;null;3;6.25;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;;Não;Não;6.778;5;Fase 2 (5º e 6º ano)
